id_tempo,data,ano_adicao,mes_adicao,nome_mes
842,2019-01-29,2019,1,January
843,2019-01-30,2019,1,January
844,2019-01-31,2019,1,January
845,2019-02-01,2019,2,February
846,2019-02-02,2019,2,February
847,2019-02-03,2019,2,February
848,2019-02-05,2019,2,February
849,2019-02-06,2019,2,February
850,2019-02-07,2019,2,February
851,2019-02-08,2019,2,February
852,2019-02-09,2019,2,February
853,2019-02-11,2019,2,February
854,2019-02-12,2019,2,February
855,2019-02-13,2019,2,February
856,2019-02-14,2019,2,February
857,2019-02-15,2019,2,February
858,2019-02-16,2019,2,February
859,2019-02-17,2019,2,February
860,2019-02-19,2019,2,February
861,2019-02-20,2019,2,February
862,2019-02-21,2019,2,February
863,2019-02-22,2019,2,February
864,2019-02-23,2019,2,February
